@relation ArabicTextComplexity

@attribute avgSentenceLength numeric
@attribute avgWordLength numeric
@attribute typeTokenRatio numeric
@attribute longWordRatio numeric
@attribute consonantClusterRatio numeric
@attribute complexityLevel {A,B,C,A+,B+}

@data
3,4.666667,1,0.333333,1.666667,A
4,4.5,1,0.25,1,A
4,4,1,0,1.75,A
5,4.4,1,0.2,1.4,A
4,4.5,1,0,1.25,A
4,4.25,1,0,1.25,A
4,5.25,1,0,1.25,A
5,4.6,1,0.2,1.8,A
5,4.4,1,0.2,1.4,A
4,4.25,1,0,2,A
6,4.333333,1,0,1.333333,A
4,5.25,1,0.25,1.25,A
5,4.4,1,0.2,1.2,A
5,4,1,0,1,A
6,4.333333,1,0.166667,1.5,A
4,4.25,1,0,1.25,A
4,4.5,1,0,1.75,A
4,4.5,1,0,1.25,A
6,4.333333,1,0.166667,1.166667,A
5,5.2,1,0.4,1.4,A
4,4.25,1,0,2,A
5,5.2,1,0.4,1.2,A
4,4.5,1,0,1.5,A
4,5,1,0.25,1.5,A
7,3.714286,1,0.142857,1.571429,A
3,5,1,0,2.666667,A
3,5.333333,1,0,1.333333,A
3,5.666667,1,0.333333,2.333333,A
4,4.25,1,0,1.25,A
3,5,1,0,2.333333,A
4,4.25,1,0,1,A
4,4.5,1,0,1.5,A
3,4.666667,1,0,2,A
4,5.25,1,0.5,1.5,A
5,4.2,1,0,1.6,A
3,4.666667,1,0,1.666667,A
4,5,1,0.25,1.5,A
5,4.4,1,0.2,1.6,A
3,5,1,0,1.333333,A
3,4.666667,1,0,1,A
6,3.333333,1,0,1.333333,A
4,4.5,1,0.25,1.75,A
4,4.75,1,0.25,1.5,A
5,5.4,1,0.4,1.4,A
4,4.75,1,0,1,A
5,4.2,1,0.2,1.8,A
3,5,1,0,3,A
3,4.333333,1,0,2,A
4,5,1,0.25,2.25,A
5,4,1,0,1.6,A
4,5.75,1,0.5,2,A
4,4,1,0,1,A
4,4.5,1,0,2,A
4,3.75,1,0,1.25,A
5,3.8,1,0,1,A
5,4.4,1,0.2,1.8,A
3,5.666667,1,0.333333,3,A
5,4.4,1,0.2,1.8,A
5,5.2,1,0.2,1.6,A
5,4.6,1,0.2,1.8,A
4,4.75,1,0,1.75,A
4,4.25,1,0,0.75,A
4,5.25,1,0.25,1.75,A
5,4,1,0,1.2,A
3,5.333333,1,0.333333,2,A
3,4.333333,1,0,1.333333,A
4,4.75,1,0,1.75,A
3,5,1,0,0.333333,A
4,4.25,1,0,1.5,A
3,5.666667,1,0,2.333333,A
4,4.25,1,0,1.25,A
7,4.714286,1,0.142857,1.714286,A
5,4.8,1,0,2.8,A
4,4.25,1,0.25,1.25,A
5,4.6,1,0,1.2,A
3,5.333333,1,0,1.666667,A
6,4.333333,1,0,1.833333,A
3,4.666667,1,0,1.333333,A
5,4.8,1,0,1.4,A
4,3.75,1,0,1.25,A
7,4.714286,1,0.142857,1.714286,A
4,5,1,0,1,A
5,4,1,0,1.4,A
7,4.857143,1,0.142857,1.571429,A
5,4.4,1,0.2,1.6,A
2,3.5,1,0,0.5,A
3,3.666667,1,0,1,A
1,4,1,0,2,A
2,4,1,0,2,A
2,3,1,0,0.5,A
2,4.5,1,0,2,A
2,3,1,0,2,A
3,4,1,0,2,A
2,3.5,1,0,0.5,A
3,4.666667,1,0.333333,1,A
2,4,1,0,1.5,A
2,3.5,1,0,0.5,A
2,3.5,1,0,1.5,A
3,3.666667,1,0,1.666667,A
3,4.333333,1,0,2,A
4,4.5,1,0.25,1,A
3,3.666667,1,0,1.666667,A
4,4.25,1,0,1.5,A
3,4,1,0,1.666667,A
4,4.25,1,0,1,A
2,4.5,1,0,2.5,A
4,5.5,1,0.25,1.75,A
2,3.5,1,0,1.5,A
4,5,1,0.25,1.25,A
2,3.5,1,0,1.5,A
4,3.75,1,0,1,A
4,3.5,1,0,1,A
5,3.6,1,0,0.4,A
3,3.333333,1,0,0.666667,A
3,3.666667,1,0,1.666667,A
3,3.666667,1,0,1.666667,A
3,3.333333,1,0,1.333333,A
3,3.666667,1,0,0.666667,A
3,4,1,0,0.666667,A
3,3.333333,1,0,0.666667,A
3,3.666667,1,0,0.666667,A
3,3.666667,1,0,1.666667,A
3,4,1,0,1.666667,A
3,3.666667,1,0,0.666667,A
3,3.333333,1,0,1.333333,A
3,4,1,0,1.333333,A
3,3,1,0,1.666667,A
3,3.666667,1,0,2.333333,A
3,3.666667,1,0,1.666667,A
3,3.333333,1,0,0.666667,A
3,3.666667,1,0,2.333333,A
3,3.333333,1,0,0.666667,A
3,3.666667,1,0,1.666667,A
3,3.666667,1,0,1,A
3,4,1,0,2,A
3,4.333333,1,0,1.666667,A
3,4.333333,1,0,1.333333,A
3,4.333333,1,0,1.333333,A
3,3.666667,1,0,1,A
3,4.666667,1,0,2.333333,A
3,4.333333,1,0,2.666667,A
3,4.333333,1,0,2,A
3,4.333333,1,0,1,A
3,4.666667,1,0,2,A
3,5,1,0.333333,2.333333,A
3,5,1,0.333333,2,A
3,5,1,0.333333,2,A
3,4.666667,1,0,2.666667,A
3,4.666667,1,0,2.666667,A
